S;k;time
0;0;0.000007
0;1;0.000001
0;2;0.000002
0;3;0.000001
0;4;0.000001
0;5;0.000001
0;6;0.000000
0;7;0.000001
0;8;0.000001
0;9;0.000001
0;10;0.000001
0;11;0.000001
0;12;0.000001
0;13;0.000001
0;14;0.000000
0;15;0.000001
0;16;0.000002
0;17;0.000001
0;18;0.000002
0;19;0.000000
1;0;0.000001
1;1;0.000001
1;2;0.000001
1;3;0.000001
1;4;0.000000
1;5;0.000002
1;6;0.000001
1;7;0.000001
1;8;0.000001
1;9;0.000000
1;10;0.000001
1;11;0.000001
1;12;0.000002
1;13;0.000002
1;14;0.000002
1;15;0.000001
1;16;0.000002
1;17;0.000001
1;18;0.000000
1;19;0.000001
2;0;0.000001
2;1;0.000003
2;2;0.000001
2;3;0.000002
2;4;0.000001
2;5;0.000002
2;6;0.000001
2;7;0.000001
2;8;0.000001
2;9;0.000001
2;10;0.000002
2;11;0.000001
2;12;0.000001
2;13;0.000001
2;14;0.000001
2;15;0.000001
2;16;0.000001
2;17;0.000002
2;18;0.000001
2;19;0.000002
3;0;0.000001
3;1;0.000001
3;2;0.000001
3;3;0.000001
3;4;0.000002
3;5;0.000002
3;6;0.000002
3;7;0.000002
3;8;0.000002
3;9;0.000002
3;10;0.000002
3;11;0.000003
3;12;0.000002
3;13;0.000003
3;14;0.000002
3;15;0.000002
3;16;0.000002
3;17;0.000002
3;18;0.000003
3;19;0.000002
4;0;0.000003
4;1;0.000002
4;2;0.000002
4;3;0.000002
4;4;0.000002
4;5;0.000003
4;6;0.000002
4;7;0.000003
4;8;0.000001
4;9;0.000001
4;10;0.000001
4;11;0.000001
4;12;0.000003
4;13;0.000002
4;14;0.000003
4;15;0.000001
4;16;0.000002
4;17;0.000002
4;18;0.000001
4;19;0.000002
5;0;0.000001
5;1;0.000002
5;2;0.000002
5;3;0.000002
5;4;0.000002
5;5;0.000002
5;6;0.000002
5;7;0.000002
5;8;0.000003
5;9;0.000001
5;10;0.000001
5;11;0.000002
5;12;0.000002
5;13;0.000003
5;14;0.000002
5;15;0.000003
5;16;0.000004
5;17;0.000002
5;18;0.000002
5;19;0.000002
6;0;0.000001
6;1;0.000001
6;2;0.000001
6;3;0.000003
6;4;0.000002
6;5;0.000001
6;6;0.000002
6;7;0.000001
6;8;0.000002
6;9;0.000002
6;10;0.000002
6;11;0.000002
6;12;0.000001
6;13;0.000002
6;14;0.000002
6;15;0.000002
6;16;0.000002
6;17;0.000003
6;18;0.000002
6;19;0.000002
7;0;0.000001
7;1;0.000002
7;2;0.000002
7;3;0.000001
7;4;0.000003
7;5;0.000001
7;6;0.000002
7;7;0.000001
7;8;0.000002
7;9;0.000002
7;10;0.000002
7;11;0.000003
7;12;0.000002
7;13;0.000002
7;14;0.000003
7;15;0.000002
7;16;0.000003
7;17;0.000002
7;18;0.000002
7;19;0.000002
8;0;0.000001
8;1;0.000003
8;2;0.000002
8;3;0.000003
8;4;0.000002
8;5;0.000002
8;6;0.000002
8;7;0.000002
8;8;0.000003
8;9;0.000002
8;10;0.000003
8;11;0.000002
8;12;0.000002
8;13;0.000002
8;14;0.000002
8;15;0.000003
8;16;0.000002
8;17;0.000003
8;18;0.000003
8;19;0.000003
9;0;0.000002
9;1;0.000002
9;2;0.000002
9;3;0.000002
9;4;0.000003
9;5;0.000002
9;6;0.000002
9;7;0.000002
9;8;0.000002
9;9;0.000003
9;10;0.000002
9;11;0.000003
9;12;0.000002
9;13;0.000003
9;14;0.000003
9;15;0.000002
9;16;0.000003
9;17;0.000004
9;18;0.000003
9;19;0.000003
10;0;0.000002
10;1;0.000002
10;2;0.000002
10;3;0.000002
10;4;0.000002
10;5;0.000002
10;6;0.000003
10;7;0.000003
10;8;0.000004
10;9;0.000003
10;10;0.000002
10;11;0.000003
10;12;0.000003
10;13;0.000003
10;14;0.000003
10;15;0.000003
10;16;0.000003
10;17;0.000003
10;18;0.000003
10;19;0.000003
11;0;0.000003
11;1;0.000002
11;2;0.000004
11;3;0.000003
11;4;0.000003
11;5;0.000002
11;6;0.000002
11;7;0.000003
11;8;0.000002
11;9;0.000004
11;10;0.000003
11;11;0.000003
11;12;0.000003
11;13;0.000003
11;14;0.000003
11;15;0.000003
11;16;0.000004
11;17;0.000003
11;18;0.000004
11;19;0.000003
12;0;0.000002
12;1;0.000003
12;2;0.000003
12;3;0.000003
12;4;0.000002
12;5;0.000004
12;6;0.000003
12;7;0.000003
12;8;0.000002
12;9;0.000003
12;10;0.000004
12;11;0.000003
12;12;0.000004
12;13;0.000003
12;14;0.000003
12;15;0.000003
12;16;0.000004
12;17;0.000005
12;18;0.000003
12;19;0.000005
13;0;0.000002
13;1;0.000003
13;2;0.000003
13;3;0.000003
13;4;0.000002
13;5;0.000003
13;6;0.000004
13;7;0.000003
13;8;0.000003
13;9;0.000003
13;10;0.000003
13;11;0.000003
13;12;0.000004
13;13;0.000004
13;14;0.000003
13;15;0.000003
13;16;0.000004
13;17;0.000004
13;18;0.000003
13;19;0.000005
14;0;0.000002
14;1;0.000002
14;2;0.000002
14;3;0.000003
14;4;0.000003
14;5;0.000004
14;6;0.000003
14;7;0.000003
14;8;0.000003
14;9;0.000003
14;10;0.000003
14;11;0.000003
14;12;0.000004
14;13;0.000004
14;14;0.000005
14;15;0.000003
14;16;0.000004
14;17;0.000004
14;18;0.000004
14;19;0.000005
15;0;0.000002
15;1;0.000003
15;2;0.000003
15;3;0.000003
15;4;0.000004
15;5;0.000003
15;6;0.000004
15;7;0.000003
15;8;0.000003
15;9;0.000003
15;10;0.000003
15;11;0.000005
15;12;0.000003
15;13;0.000005
15;14;0.000003
15;15;0.000004
15;16;0.000004
15;17;0.000004
15;18;0.000005
15;19;0.000005
16;0;0.000004
16;1;0.000002
16;2;0.000003
16;3;0.000003
16;4;0.000004
16;5;0.000004
16;6;0.000004
16;7;0.000005
16;8;0.000003
16;9;0.000004
16;10;0.000004
16;11;0.000004
16;12;0.000003
16;13;0.000004
16;14;0.000005
16;15;0.000004
16;16;0.000004
16;17;0.000004
16;18;0.000004
16;19;0.000005
17;0;0.000003
17;1;0.000003
17;2;0.000003
17;3;0.000003
17;4;0.000003
17;5;0.000004
17;6;0.000003
17;7;0.000004
17;8;0.000005
17;9;0.000004
17;10;0.000004
17;11;0.000004
17;12;0.000004
17;13;0.000004
17;14;0.000004
17;15;0.000005
17;16;0.000004
17;17;0.000005
17;18;0.000005
17;19;0.000004
18;0;0.000003
18;1;0.000003
18;2;0.000004
18;3;0.000003
18;4;0.000003
18;5;0.000003
18;6;0.000004
18;7;0.000004
18;8;0.000004
18;9;0.000005
18;10;0.000004
18;11;0.000004
18;12;0.000004
18;13;0.000006
18;14;0.000006
18;15;0.000005
18;16;0.000004
18;17;0.000005
18;18;0.000005
18;19;0.000005
19;0;0.000003
19;1;0.000004
19;2;0.000003
19;3;0.000003
19;4;0.000004
19;5;0.000004
19;6;0.000004
19;7;0.000004
19;8;0.000005
19;9;0.000004
19;10;0.000004
19;11;0.000004
19;12;0.000004
19;13;0.000005
19;14;0.000005
19;15;0.000006
19;16;0.000005
19;17;0.000005
19;18;0.000005
19;19;0.000005
20;0;0.000002
20;1;0.000003
20;2;0.000004
20;3;0.000003
20;4;0.000005
20;5;0.000004
20;6;0.000004
20;7;0.000004
20;8;0.000004
20;9;0.000005
20;10;0.000004
20;11;0.000006
20;12;0.000005
20;13;0.000005
20;14;0.000005
20;15;0.000005
20;16;0.000006
20;17;0.000005
20;18;0.000006
20;19;0.000005
21;0;0.000003
21;1;0.000004
21;2;0.000004
21;3;0.000004
21;4;0.000004
21;5;0.000005
21;6;0.000005
21;7;0.000005
21;8;0.000005
21;9;0.000005
21;10;0.000005
21;11;0.000005
21;12;0.000006
21;13;0.000005
21;14;0.000005
21;15;0.000005
21;16;0.000005
21;17;0.000006
21;18;0.000006
21;19;0.000006
22;0;0.000003
22;1;0.000003
22;2;0.000003
22;3;0.000004
22;4;0.000005
22;5;0.000005
22;6;0.000006
22;7;0.000005
22;8;0.000005
22;9;0.000005
22;10;0.000005
22;11;0.000006
22;12;0.000006
22;13;0.000006
22;14;0.000006
22;15;0.000007
22;16;0.000006
22;17;0.000006
22;18;0.000006
22;19;0.000006
23;0;0.000003
23;1;0.000004
23;2;0.000004
23;3;0.000004
23;4;0.000004
23;5;0.000004
23;6;0.000004
23;7;0.000005
23;8;0.000005
23;9;0.000005
23;10;0.000005
23;11;0.000006
23;12;0.000006
23;13;0.000006
23;14;0.000006
23;15;0.000006
23;16;0.000006
23;17;0.000007
23;18;0.000006
23;19;0.000006
24;0;0.000003
24;1;0.000004
24;2;0.000005
24;3;0.000004
24;4;0.000005
24;5;0.000004
24;6;0.000004
24;7;0.000005
24;8;0.000005
24;9;0.000006
24;10;0.000005
24;11;0.000006
24;12;0.000006
24;13;0.000006
24;14;0.000005
24;15;0.000006
24;16;0.000007
24;17;0.000007
24;18;0.000008
24;19;0.000007
25;0;0.000004
25;1;0.000004
25;2;0.000004
25;3;0.000004
25;4;0.000004
25;5;0.000006
25;6;0.000005
25;7;0.000005
25;8;0.000006
25;9;0.000006
25;10;0.000006
25;11;0.000006
25;12;0.000006
25;13;0.000006
25;14;0.000006
25;15;0.000006
25;16;0.000006
25;17;0.000006
25;18;0.000007
25;19;0.000008
26;0;0.000003
26;1;0.000004
26;2;0.000005
26;3;0.000005
26;4;0.000005
26;5;0.000005
26;6;0.000006
26;7;0.000005
26;8;0.000005
26;9;0.000005
26;10;0.000006
26;11;0.000006
26;12;0.000006
26;13;0.000008
26;14;0.000006
26;15;0.000006
26;16;0.000007
26;17;0.000009
26;18;0.000008
26;19;0.000007
27;0;0.000004
27;1;0.000004
27;2;0.000005
27;3;0.000005
27;4;0.000005
27;5;0.000006
27;6;0.000005
27;7;0.000006
27;8;0.000006
27;9;0.000005
27;10;0.000006
27;11;0.000006
27;12;0.000007
27;13;0.000006
27;14;0.000007
27;15;0.000006
27;16;0.000007
27;17;0.000006
27;18;0.000007
27;19;0.000008
28;0;0.000004
28;1;0.000005
28;2;0.000004
28;3;0.000004
28;4;0.000005
28;5;0.000005
28;6;0.000006
28;7;0.000005
28;8;0.000006
28;9;0.000006
28;10;0.000006
28;11;0.000007
28;12;0.000006
28;13;0.000008
28;14;0.000007
28;15;0.000007
28;16;0.000007
28;17;0.000007
28;18;0.000008
28;19;0.000008
29;0;0.000004
29;1;0.000004
29;2;0.000004
29;3;0.000005
29;4;0.000006
29;5;0.000006
29;6;0.000007
29;7;0.000005
29;8;0.000006
29;9;0.000006
29;10;0.000006
29;11;0.000007
29;12;0.000006
29;13;0.000008
29;14;0.000006
29;15;0.000007
29;16;0.000007
29;17;0.000007
29;18;0.000008
29;19;0.000007
30;0;0.000005
30;1;0.000004
30;2;0.000004
30;3;0.000005
30;4;0.000005
30;5;0.000005
30;6;0.000006
30;7;0.000007
30;8;0.000006
30;9;0.000006
30;10;0.000006
30;11;0.000006
30;12;0.000007
30;13;0.000007
30;14;0.000008
30;15;0.000007
30;16;0.000007
30;17;0.000009
30;18;0.000007
30;19;0.000009
31;0;0.000004
31;1;0.000006
31;2;0.000004
31;3;0.000005
31;4;0.000005
31;5;0.000006
31;6;0.000007
31;7;0.000006
31;8;0.000007
31;9;0.000007
31;10;0.000006
31;11;0.000007
31;12;0.000007
31;13;0.000008
31;14;0.000007
31;15;0.000008
31;16;0.000007
31;17;0.000008
31;18;0.000008
31;19;0.000008
32;0;0.000004
32;1;0.000005
32;2;0.000006
32;3;0.000005
32;4;0.000005
32;5;0.000005
32;6;0.000006
32;7;0.000006
32;8;0.000006
32;9;0.000007
32;10;0.000007
32;11;0.000007
32;12;0.000007
32;13;0.000007
32;14;0.000007
32;15;0.000008
32;16;0.000009
32;17;0.000008
32;18;0.000008
32;19;0.000008
33;0;0.000004
33;1;0.000005
33;2;0.000005
33;3;0.000007
33;4;0.000005
33;5;0.000006
33;6;0.000006
33;7;0.000006
33;8;0.000006
33;9;0.000007
33;10;0.000007
33;11;0.000007
33;12;0.000007
33;13;0.000008
33;14;0.000008
33;15;0.000008
33;16;0.000008
33;17;0.000009
33;18;0.000008
33;19;0.000009
